ficheiro_xml,query,query_length,rank,accession,hit_def,hit_length,align_length,identities,percent_id,evalue
NC_019914.1_30363_32237_blastp.xml,NC_019914.1:30363-32237 traducao_melhor_orf sentido=+ frame=0,624,3,WP_225602090,MULTISPECIES: M14 family metallopeptidase [Bacillati] >gb|MCA4764662.1| DUF2817 domain-containing protein [Mycobacterium avium subsp. hominissuis] >gb|MEQ2755475.1| M14 family metallopeptidase [Staphylococcus hominis] >gb|XOS65198.1| MAG: hypothetical protein MSP0587_90 [Caudoviricetes sp.],624,624,622,99.67948717948718,0.0
NC_019914.1_30363_32237_blastp.xml,NC_019914.1:30363-32237 traducao_melhor_orf sentido=+ frame=0,624,4,WP_100442573,M14 family metallopeptidase [Staphylococcus hominis] >gb|PJM33045.1| DUF2817 domain-containing protein [Staphylococcus hominis] >gb|PJM56465.1| DUF2817 domain-containing protein [Staphylococcus hominis],624,624,621,99.51923076923077,0.0
NC_019914.1_30363_32237_blastp.xml,NC_019914.1:30363-32237 traducao_melhor_orf sentido=+ frame=0,624,5,WP_242227525,M14 family metallopeptidase [Staphylococcus hominis] >gb|MCI2862405.1| M14 family metallopeptidase [Staphylococcus hominis] >gb|MCI2866306.1| M14 family metallopeptidase [Staphylococcus hominis] >gb|MCI2883962.1| M14 family metallopeptidase [Staphylococcus hominis] >gb|MFZ7906755.1| M14 family metallopeptidase [Staphylococcus hominis],624,624,622,99.67948717948718,0.0
NC_019914.1_30363_32237_blastp.xml,NC_019914.1:30363-32237 traducao_melhor_orf sentido=+ frame=0,624,6,WP_207025509,M14 family metallopeptidase [Staphylococcus hominis] >gb|MBO0379794.1| DUF2817 domain-containing protein [Staphylococcus hominis],624,624,620,99.35897435897436,0.0
NC_019914.1_30363_32237_blastp.xml,NC_019914.1:30363-32237 traducao_melhor_orf sentido=+ frame=0,624,7,WP_257184057,M14 family metallopeptidase [Staphylococcus hominis],624,624,622,99.67948717948718,0.0
NC_019914.1_30363_32237_blastp.xml,NC_019914.1:30363-32237 traducao_melhor_orf sentido=+ frame=0,624,8,WP_368551334,M14 family metallopeptidase [Staphylococcus hominis] >gb|MEX3469079.1| M14 family metallopeptidase [Staphylococcus hominis] >gb|MGJ0186421.1| M14 family metallopeptidase [Staphylococcus hominis],624,624,621,99.51923076923077,0.0
NC_019914.1_30363_32237_blastp.xml,NC_019914.1:30363-32237 traducao_melhor_orf sentido=+ frame=0,624,9,WP_142836585,M14 family metallopeptidase [Staphylococcus hominis] >gb|TRL32917.1| DUF2817 domain-containing protein [Staphylococcus hominis],624,624,620,99.35897435897436,0.0
NC_019914.1_30363_32237_blastp.xml,NC_019914.1:30363-32237 traducao_melhor_orf sentido=+ frame=0,624,10,WP_155974890,M14 family metallopeptidase [Staphylococcus hominis] >gb|MGW9964743.1| zinc carboxypeptidase [Staphylococcus hominis] >gb|MGX0015976.1| zinc carboxypeptidase [Staphylococcus hominis] >gb|MGX0080457.1| zinc carboxypeptidase [Staphylococcus hominis] >gb|MGX0219045.1| zinc carboxypeptidase [Staphylococcus hominis] >gb|MGX0246918.1| zinc carboxypeptidase [Staphylococcus hominis],624,624,621,99.51923076923077,0.0
NC_019914.1_38194_39930_blastp.xml,NC_019914.1:38194-39930 traducao_melhor_orf sentido=+ frame=0,578,1,YP_007236621,endolysin [Staphylococcus phage StB27] >gb|AFD22213.1| lysine [Staphylococcus phage StB27],578,578,578,100.0,0.0
NC_019914.1_38194_39930_blastp.xml,NC_019914.1:38194-39930 traducao_melhor_orf sentido=+ frame=0,578,2,WP_434179235,N-acetylmuramoyl-L-alanine amidase [Staphylococcus hominis] >gb|MGJ0147572.1| N-acetylmuramoyl-L-alanine amidase [Staphylococcus hominis],578,578,575,99.48096885813149,0.0
NC_019914.1_38194_39930_blastp.xml,NC_019914.1:38194-39930 traducao_melhor_orf sentido=+ frame=0,578,3,WP_170076343,N-acetylmuramoyl-L-alanine amidase [Staphylococcus hominis] >gb|NMD91108.1| CHAP domain-containing protein [Staphylococcus hominis],578,578,574,99.30795847750865,0.0
NC_019914.1_38194_39930_blastp.xml,NC_019914.1:38194-39930 traducao_melhor_orf sentido=+ frame=0,578,4,WP_415401313,N-acetylmuramoyl-L-alanine amidase [Staphylococcus hominis] >gb|XOF59145.1| N-acetylmuramoyl-L-alanine amidase [Staphylococcus hominis],578,578,574,99.30795847750865,0.0
NC_019914.1_38194_39930_blastp.xml,NC_019914.1:38194-39930 traducao_melhor_orf sentido=+ frame=0,578,5,XOQ91196,MAG: hypothetical protein [Caudoviricetes sp.],578,578,573,99.13494809688581,0.0
NC_019914.1_38194_39930_blastp.xml,NC_019914.1:38194-39930 traducao_melhor_orf sentido=+ frame=0,578,6,WP_053028142,N-acetylmuramoyl-L-alanine amidase [Staphylococcus haemolyticus],578,578,573,99.13494809688581,0.0
NC_019914.1_38194_39930_blastp.xml,NC_019914.1:38194-39930 traducao_melhor_orf sentido=+ frame=0,578,7,WP_207025504,N-acetylmuramoyl-L-alanine amidase [Staphylococcus hominis] >gb|MBO0379786.1| N-acetylmuramoyl-L-alanine amidase [Staphylococcus hominis],578,578,571,98.78892733564014,0.0
NC_019914.1_38194_39930_blastp.xml,NC_019914.1:38194-39930 traducao_melhor_orf sentido=+ frame=0,578,8,WP_458622396,N-acetylmuramoyl-L-alanine amidase [Staphylococcus hominis] >gb|MGZ9788921.1| N-acetylmuramoyl-L-alanine amidase [Staphylococcus hominis],578,578,572,98.96193771626298,0.0
NC_019914.1_38194_39930_blastp.xml,NC_019914.1:38194-39930 traducao_melhor_orf sentido=+ frame=0,578,9,DAI87799,"MAG TPA: LYSK HYDROLASE, ENDOLYSIN [Caudoviricetes sp.]",578,578,570,98.6159169550173,0.0
NC_019914.1_38194_39930_blastp.xml,NC_019914.1:38194-39930 traducao_melhor_orf sentido=+ frame=0,578,10,WP_242265550,N-acetylmuramoyl-L-alanine amidase [Staphylococcus hominis] >gb|MCI2896269.1| N-acetylmuramoyl-L-alanine amidase [Staphylococcus hominis] >gb|MDS3901091.1| N-acetylmuramoyl-L-alanine amidase [Staphylococcus hominis],578,578,569,98.44290657439447,0.0
